Year,Rank,Title,Studio,Worldwide,Domestic,Overseas,Category,Link
2013,200,Emperor,RAtt.,3.3,3.3,0.0,Top151to200,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=emperor.htm
2014,1,Transformers: Age of Extinction,Par.,1104.1,245.4,858.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=transformers4.htm
2014,2,The Hobbit: The Battle of the Five Armies,WB (NL),956.0,255.1,700.9,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=hobbit3.htm
2014,3,Guardians of the Galaxy,BV,773.3,333.2,440.2,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=marvel2014a.htm
2014,4,Maleficent,BV,758.5,241.4,517.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=maleficient.htm
2014,5,The Hunger Games: Mockingjay - Part 1,LGF,755.4,337.1,418.2,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=hungergames3.htm
2014,6,X-Men: Days of Future Past,Fox,747.9,233.9,513.9,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=xmen2014.htm
2014,7,Captain America: The Winter Soldier,BV,714.3,259.8,454.5,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=marvel14b.htm
2014,8,Dawn of the Planet of the Apes,Fox,710.6,208.5,502.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=dawnoftheapes.htm
2014,9,The Amazing Spider-Man 2,Sony,709.0,202.9,506.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=amazingsppage=intl&country=CH&iderman2.htm
2014,10,Interstellar,Par.,677.5,188.0,489.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=interstellar.htm
2014,11,Big Hero 6,BV,657.8,222.5,435.3,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=disney2014.htm
